TIME,NB_THREADS,LIMIT,BEST_PATH
2.615407,1,2,1883
2.545740,1,3,1883
2.093166,1,4,1883
1.915231,1,5,1883
2.453392,1,6,1883
1.420118,1,7,1883
1.905493,6,2,1883
1.675384,6,3,1883
1.898680,6,4,1883
1.769355,6,5,1883
1.981211,6,6,1883
1.556557,6,7,1883
1.808817,11,2,1883
1.552540,11,3,1883
1.517246,11,4,1883
2.111679,11,5,1883
1.644748,11,6,1883
1.595057,11,7,1883
2.318185,16,2,1883
1.745462,16,3,1883
1.823855,16,4,1883
1.652452,16,5,1883
1.671787,16,6,1883
1.787368,16,7,1883
2.124243,21,2,1883
2.282350,21,3,1883
2.243900,21,4,1883
1.772090,21,5,1883
1.966264,21,6,1883
1.896327,21,7,1883
1.976863,27,2,1883
1.881510,27,3,1883
1.924888,27,4,1883
1.999244,27,5,1883
1.903400,27,6,1883
1.845885,27,7,1883
2.220638,32,2,1883
2.297769,32,3,1883
1.962006,32,4,1883
2.027225,32,5,1883
2.037774,32,6,1883
2.259479,32,7,1883
2.092524,37,2,1883
2.122498,37,3,1883
2.120254,37,4,1883
2.119474,37,5,1883
2.134330,37,6,1883
2.492693,37,7,1883
2.180594,42,2,1883
2.607424,42,3,1883
2.592095,42,4,1883
2.716221,42,5,1883
2.165046,42,6,1883
2.206412,42,7,1883
2.456097,47,2,1883
2.153846,47,3,1883
2.284814,47,4,1883
2.311944,47,5,1883
2.450547,47,6,1883
2.358870,47,7,1883
2.884418,53,2,1883
2.893184,53,3,1883
2.679825,53,4,1883
2.557572,53,5,1883
2.681918,53,6,1883
2.533036,53,7,1883
2.693761,58,2,1883
2.553535,58,3,1883
2.851818,58,4,1883
2.621378,58,5,1883
2.888636,58,6,1883
3.683234,58,7,1883
2.930291,63,2,1883
2.864080,63,3,1883
2.582848,63,4,1883
3.074524,63,5,1883
2.990480,63,6,1883
2.822124,63,7,1883
3.150633,68,2,1883
2.946341,68,3,1883
2.852188,68,4,1883
2.728594,68,5,1883
3.202999,68,6,1883
2.781761,68,7,1883
3.079764,73,2,1883
2.929680,73,3,1883
2.885099,73,4,1883
2.936643,73,5,1883
2.706133,73,6,1883
3.400498,73,7,1883
3.191608,79,2,1883
3.503617,79,3,1883
3.023241,79,4,1883
3.011088,79,5,1883
2.986414,79,6,1883
3.064205,79,7,1883
3.250064,84,2,1883
3.273607,84,3,1883
3.139061,84,4,1883
3.547587,84,5,1883
3.021888,84,6,1883
3.138922,84,7,1883
3.233064,89,2,1883
3.269880,89,3,1883
3.570939,89,4,1883
3.126208,89,5,1883
3.105440,89,6,1883
3.367228,89,7,1883
3.364053,94,2,1883
3.596776,94,3,1883
3.331653,94,4,1883
3.377487,94,5,1883
3.297320,94,6,1883
3.222233,94,7,1883
3.895881,99,2,1883
3.463774,99,3,1883
3.251727,99,4,1883
3.692561,99,5,1883
3.544501,99,6,1883
4.271195,99,7,1883
3.953517,105,2,1883
4.068817,105,3,1883
3.546755,105,4,1883
4.003106,105,5,1883
3.578171,105,6,1883
3.541645,105,7,1883
4.207790,110,2,1883
3.747872,110,3,1883
3.678706,110,4,1883
4.171995,110,5,1883
3.707598,110,6,1883
3.540403,110,7,1883
3.818830,115,2,1883
4.111354,115,3,1883
3.623695,115,4,1883
3.693232,115,5,1883
3.738144,115,6,1883
4.678558,115,7,1883
3.942867,120,2,1883
4.492479,120,3,1883
4.288366,120,4,1883
3.902493,120,5,1883
